ActivityID,CareType,HCWType,RoomType,Surface,Date,Time,Dev.Date.Time,type
1,IV,RN,SB,AlcOutside,08/03/2019,27/07/2020 11:08,08/03/2019 11:08,Mock
1,IV,RN,SB,In,08/03/2019,27/07/2020 11:08,08/03/2019 11:08,Mock
1,IV,RN,SB,Door,08/03/2019,27/07/2020 11:08,08/03/2019 11:08,Mock
1,IV,RN,SB,Door,08/03/2019,27/07/2020 11:08,08/03/2019 11:08,Mock
1,IV,RN,SB,Other,08/03/2019,27/07/2020 11:08,08/03/2019 11:08,Mock
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:10,08/03/2019 11:10,Mock
1,IV,RN,SB,Tray,08/03/2019,27/07/2020 11:10,08/03/2019 11:10,Mock
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:10,08/03/2019 11:10,Mock
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:10,08/03/2019 11:10,Mock
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:10,08/03/2019 11:10,Mock
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:10,08/03/2019 11:10,Mock
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:11,08/03/2019 11:11,Mock
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:11,08/03/2019 11:11,Mock
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:11,08/03/2019 11:11,Mock
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:11,08/03/2019 11:11,Mock
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:11,08/03/2019 11:11,Mock
1,IV,RN,SB,Patient,08/03/2019,27/07/2020 11:11,08/03/2019 11:11,Mock
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:11,08/03/2019 11:11,Mock
1,IV,RN,SB,Patient,08/03/2019,27/07/2020 11:12,08/03/2019 11:12,Mock
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:12,08/03/2019 11:12,Mock
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:12,08/03/2019 11:12,Mock
1,IV,RN,SB,Sharps,08/03/2019,27/07/2020 11:12,08/03/2019 11:12,Mock
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:12,08/03/2019 11:12,Mock
1,IV,RN,SB,Sharps,08/03/2019,27/07/2020 11:12,08/03/2019 11:12,Mock
1,IV,RN,SB,Waste,08/03/2019,27/07/2020 11:13,08/03/2019 11:13,Mock
1,IV,RN,SB,Waste,08/03/2019,27/07/2020 11:13,08/03/2019 11:13,Mock
1,IV,RN,SB,Sink,08/03/2019,27/07/2020 11:13,08/03/2019 11:13,Mock
1,IV,RN,SB,Soap,08/03/2019,27/07/2020 11:13,08/03/2019 11:13,Mock
1,IV,RN,SB,Sink,08/03/2019,27/07/2020 11:13,08/03/2019 11:13,Mock
1,IV,RN,SB,PaperTowel,08/03/2019,27/07/2020 11:13,08/03/2019 11:13,Mock
1,IV,RN,SB,Door,08/03/2019,27/07/2020 11:14,08/03/2019 11:14,Mock
1,IV,RN,SB,Door,08/03/2019,27/07/2020 11:14,08/03/2019 11:14,Mock
1,IV,RN,SB,Patient,08/03/2019,27/07/2020 11:15,08/03/2019 11:15,Mock
1,IV,RN,SB,Door,08/03/2019,27/07/2020 11:15,08/03/2019 11:15,Mock
1,IV,RN,SB,Door,08/03/2019,27/07/2020 11:16,08/03/2019 11:16,Mock
1,IV,RN,SB,Door,08/03/2019,27/07/2020 11:17,08/03/2019 11:17,Mock
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:17,08/03/2019 11:17,Mock
1,IV,RN,SB,IV,08/03/2019,27/07/2020 11:17,08/03/2019 11:17,Mock
1,IV,RN,SB,Waste,08/03/2019,27/07/2020 11:17,08/03/2019 11:17,Mock
1,IV,RN,SB,IV,08/03/2019,27/07/2020 11:17,08/03/2019 11:17,Mock
1,IV,RN,SB,IV,08/03/2019,27/07/2020 11:18,08/03/2019 11:18,Mock
1,IV,RN,SB,Patient,08/03/2019,27/07/2020 11:19,08/03/2019 11:19,Mock
1,IV,RN,SB,Other,08/03/2019,27/07/2020 11:19,08/03/2019 11:19,Mock
1,IV,RN,SB,Door,08/03/2019,27/07/2020 11:19,08/03/2019 11:19,Mock
1,IV,RN,SB,Out,08/03/2019,27/07/2020 11:19,08/03/2019 11:19,Mock
2,Rounds,DR,SB,AlcOutside,08/03/2019,27/07/2020 11:24,08/03/2019 11:24,Mock
2,Rounds,DR,SB,In,08/03/2019,27/07/2020 11:25,08/03/2019 11:25,Mock
2,Rounds,DR,SB,Door,08/03/2019,27/07/2020 11:25,08/03/2019 11:25,Mock
2,Rounds,DR,SB,Door,08/03/2019,27/07/2020 11:25,08/03/2019 11:25,Mock
2,Rounds,DR,SB,Patient,08/03/2019,27/07/2020 11:27,08/03/2019 11:27,Mock
2,Rounds,DR,SB,Patient,08/03/2019,27/07/2020 11:27,08/03/2019 11:27,Mock
2,Rounds,DR,SB,Patient,08/03/2019,27/07/2020 11:28,08/03/2019 11:28,Mock
2,Rounds,DR,SB,Patient,08/03/2019,27/07/2020 11:28,08/03/2019 11:28,Mock
2,Rounds,DR,SB,Alc,08/03/2019,27/07/2020 11:29,08/03/2019 11:29,Mock
2,Rounds,DR,SB,Sink,08/03/2019,27/07/2020 11:29,08/03/2019 11:29,Mock
2,Rounds,DR,SB,Soap,08/03/2019,27/07/2020 11:29,08/03/2019 11:29,Mock
2,Rounds,DR,SB,Sink,08/03/2019,27/07/2020 11:29,08/03/2019 11:29,Mock
2,Rounds,DR,SB,PaperTowel,08/03/2019,27/07/2020 11:29,08/03/2019 11:29,Mock
2,Rounds,DR,SB,Door,08/03/2019,27/07/2020 11:29,08/03/2019 11:29,Mock
2,Rounds,DR,SB,Out,08/03/2019,27/07/2020 11:29,08/03/2019 11:29,Mock
3,Obs,AUX,SB,In,08/03/2019,27/07/2020 11:41,08/03/2019 11:41,Mock
3,Obs,AUX,SB,ObsTrolley,08/03/2019,27/07/2020 11:41,08/03/2019 11:41,Mock
3,Obs,AUX,SB,Door,08/03/2019,27/07/2020 11:41,08/03/2019 11:41,Mock
3,Obs,AUX,SB,Door,08/03/2019,27/07/2020 11:41,08/03/2019 11:41,Mock
3,Obs,AUX,SB,Door,08/03/2019,27/07/2020 11:41,08/03/2019 11:41,Mock
3,Obs,AUX,SB,Alc,08/03/2019,27/07/2020 11:42,08/03/2019 11:42,Mock
3,Obs,AUX,SB,ObsTrolley,08/03/2019,27/07/2020 11:42,08/03/2019 11:42,Mock
3,Obs,AUX,SB,ObsTrolley,08/03/2019,27/07/2020 11:42,08/03/2019 11:42,Mock
3,Obs,AUX,SB,Patient,08/03/2019,27/07/2020 11:42,08/03/2019 11:42,Mock
3,Obs,AUX,SB,ObsTrolley,08/03/2019,27/07/2020 11:42,08/03/2019 11:42,Mock
3,Obs,AUX,SB,ObsTrolley,08/03/2019,27/07/2020 11:42,08/03/2019 11:42,Mock
3,Obs,AUX,SB,ObsTrolley,08/03/2019,27/07/2020 11:42,08/03/2019 11:42,Mock
3,Obs,AUX,SB,ObsTrolley,08/03/2019,27/07/2020 11:42,08/03/2019 11:42,Mock
3,Obs,AUX,SB,Patient,08/03/2019,27/07/2020 11:43,08/03/2019 11:43,Mock
3,Obs,AUX,SB,ObsTrolley,08/03/2019,27/07/2020 11:43,08/03/2019 11:43,Mock
3,Obs,AUX,SB,Patient,08/03/2019,27/07/2020 11:43,08/03/2019 11:43,Mock
3,Obs,AUX,SB,ObsTrolley,08/03/2019,27/07/2020 11:43,08/03/2019 11:43,Mock
3,Obs,AUX,SB,Door,08/03/2019,27/07/2020 11:43,08/03/2019 11:43,Mock
